"","は","indicates sentence topic; indicates contrast with another option (stated or unstated); adds emphasis"
"","を","indicates direct object of action; indicates subject of causative expression; indicates an area traversed; indicates time (period) over which action takes place; indicates point of departure or separation of action; indicates object of desire, like, hate, etc."
"","に","at (place, time), in, on, during; to (direction, state), toward, into; for (purpose); because of (reason), for, with; by, from; as (i.e. in the role of); per, in, for, a (e.g. ""once a month""); and, in addition to; if, although"
"彼","かれ","he, him; boyfriend"
"為る","する","to do, to carry out, to perform; to cause to become, to make (into), to turn (into); to serve as, to act as, to work as; to wear (clothes, a facial expression, etc.); to judge as being, to view as being, to think of as, to treat as, to use as; to decide on, to choose; to be sensed (of a smell, noise, etc.); to be (in a state, condition, etc.); to be worth, to cost; to pass (of time), to elapse; to place, or raise, person A to a post or status B; to transform A to B, to make A into B, to exchange A for B; to make use of A for B, to view A as B, to handle A as if it were B; to feel A about B; verbalizing suffix (applies to nouns noted in this dictionary with the part of speech ""vs""); creates a humble verb (after a noun prefixed with ""o"" or ""go""); to be just about to, to be just starting to, to try to, to attempt to"
"私","わたし","I, me"
"","で","at, in; at, when; by, with"
"","と","if, when; and; with; used for quoting (thoughts, speech, etc.); promoted pawn; indicates a question"
"","か","indicates a question; or, whether or not; some- (e.g. something, someone); hmm, huh; very; -al, -ial, -ic, -ical, -ish, -y; in that way"
"","も","too, also, in addition, as well, (not) either (in a negative sentence); both A and B, A as well as B, neither A nor B (in a negative sentence); even, as much as, as many as, as far as, as long as, no less than, no fewer than; even if, even though, although, in spite of; further, more, again, another, the other"
"","よ","hey, you; hey; hey, hold on; yo, hey"
"来る","くる, クる","to come (spatially or temporally), to approach, to arrive; to come back, to do ... and come back; to come to be, to become, to get, to grow, to continue; to come from, to be caused by, to derive from; to come to (e.g. ""when it comes to spinach ..."")"
"見る","みる","to see, to look, to watch, to view, to observe; to examine, to look over, to assess, to check, to judge; to look after, to attend to, to take care of, to keep an eye on; to experience, to meet with (misfortune, success, etc.); to try ..., to have a go at ..., to give ... a try; to see (that) ..., to find (that) ..."
"其れ","それ","that, it; then, that point (in time), that time; there; you"
"居る","いる","to be (of animate objects), to exist; to stay; to be ...-ing, to have been ...-ing"
"呉れる","くれる","to give, to let (one) have; to give; to do for one, to take the trouble to do; to do to someone's disadvantage"
"","へ, ェ","to, towards, for"
"要る","いる","to be needed, to be necessary, to be required, to be wanted, to need, to want"
"時","とき","time, hour, moment; occasion, case; chance, opportunity, season; the times, the age, the day; tense"
"為れる","される","to be done (to someone or something); to do, to be doing"
"","から","from (e.g. time, place, numerical quantity), since; from (originator), by; because, since; out of (constituent, part); through (e.g. window, vestibule); after, since; expresses sympathy or warning"
"僕","ぼく, ボク","I, me; you; manservant"
"板","いた","board, plank; sheet (of metal), plate (of glass), pane, slab; cutting board, chopping board; chef (esp. of high-end Japanese cuisine), cook; stage (i.e. at a theatre)"
"前","まえ","in front (of), before (e.g. a building); before, earlier, previously, prior, ago, (minutes) to (the hour); (the) front, frontal part, fore, head (e.g. of a line); forward, ahead; (in the) presence (of), in front (of someone); previous (e.g. page), prior (e.g. engagement), first (e.g. half), former (e.g. example); portion, helping; front (of one's body or clothing), breast (of a coat, kimono, etc.); privates, private parts; criminal record, previous conviction, (a) prior"
"では無い","ではない","is not, am not, are not"
"","だ","be, is"
"中","なか","inside, interior; among, within; middle, center, centre; during, while, middle, midst, amid; interval, gap; mean, average; second (of three, e.g. sons, volumes), middle; medium grade, medium quality; red-light district"
"其の","その, そん","that, the; part (as in ""part two""); um ..., er ..., uh ..."
"言う","いう, ゆう","to say, to utter, to declare; to name, to call; to go (e.g. ""the alarm went ping""), to make a noise"
"先生","せんせい","teacher, instructor, master; sensei, title or form of address for a teacher, master, doctor, lawyer, etc.; intimate or teasing form of address; one's elder"
"見える","みえる","to be seen, to be visible, to be in sight; to look, to seem, to appear; to come"
"と言う","という, とゆう","called, named, that says, that; as many as, as much as; all ..., every single ..."
"可き","べき","should, must, ought to"
"年","ねん","year; counter for years (e.g. of an era), grades (e.g. school); period of an apprentice's contract (usu. ten years)"
"此の","この, こん","this; last (couple of years, etc.), these, past, this; you (as in ""you liar"")"
"積もり","つもり","intention, plan, purpose, expectation; belief, assumption, thought, conviction; estimate, estimation, calculation"
"男","おとこ, おっこ","man, male; fellow, guy, chap, bloke; male lover, boyfriend, man; manliness, manly honor, manly honour, manly reputation"
"思う","おもう","to think, to consider, to believe, to reckon; to think (of doing), to plan (to do); to judge, to assess, to regard; to imagine, to suppose, to dream; to expect, to look forward to; to feel, to be (in a state of mind), to desire, to want; to care (deeply) for, to yearn for, to worry about, to love; to recall, to remember"
"","には","to, for, on, in, at; in order to, for; as for, regarding; while it is (was) the case that ..., indeed ... (but), certainly ... (but)"
"行けない","いけない","bad, wrong, naughty; must not (do, be), should not, ought not to; useless, no good, bad; hopeless, beyond hope; unfortunate, a shame, a pity; unable to drink (alcohol); so as not to ..., so that ... (won't), in case ..., for fear that ..., lest ..."
"","のだ, んだ","the expectation is that ..., the reason is that ..., the fact is that ..., the explanation is that ..., it is that ..."
"","させる","to make (someone) do; to allow (someone) to do"
"悪い","わるい","bad, poor, undesirable; poor (quality), inferior, insufficient; evil, sinful; ugly, not beautiful; at fault, to blame, in the wrong; bad (at doing something); unprofitable, unbeneficial; sorry, (my) bad, unforgivable"
"様","よう","appearing ..., looking ...; way to ..., method of ...ing; form, style, design; like, similar to; thing (thought or spoken)"
"方","ほう","direction, way, side, area (in a particular direction); side (of an argument, etc.), one's part; type, category; field (of study, etc.); indicates one side of a comparison; way, method, manner, means; length (of each side of a square)"
"鋳る","いる","to cast, to mint, to coin"
"","ので, んで","that being the case, because of ..., the reason is ..., given that ..."
"町","まち","town, block, neighbourhood, neighborhood; downtown, main street; street, road"
"人々","ひとびと","people, men and women; each person, everybody"
"","にも","also, too, not ... either, as well, even; (it's not possible) no matter what, although one might wish otherwise"
"田","た","rice field"
"鳴る","なる","to sound, to ring, to resound, to echo, to roar, to rumble"
"立つ","たつ","to stand (up), to rise, to get to one's feet, to stand on end (e.g. of hairs), to stick up; to stand (in a position; of a person, tree, building, etc.), to be situated (in, on); to be (in difficulties, the lead, etc.), to put oneself (in a position or situation), to take up (a position, post, etc.), to position oneself; to leave (to do something); to depart (on a journey, trip, etc.), to leave, to set off, to start; to get stuck (into; of an arrow, thorn etc.), to pierce; to develop (of a haze, waves, etc.), to form (of steam, bubbles, etc.), to appear (of a rainbow, clouds, etc.), to rise (of smoke, waves, etc.), to begin to blow (of a wind, breeze, etc.); to spread (of a rumour, reputation, etc.), to be become widely known; to stand (for election), to run; to take action, to act, to rise (up), to rouse oneself; to have an erection, to become erect (e.g. of nipples); to be established (of a policy, plan, objective, etc.), to be formed; to be valid (of an argument, logic, etc.), to hold up, to hold water, to stand up (e.g. of evidence), to be logical, to be reasonable; to be sustained (of a living, business, etc.), to be maintained, to survive, to be preserved (of one's reputation, honour, etc.), to be saved; to start (of a season), to begin; to be held (of a market); to shut (of a door, shoji, etc.), to be shut, to be closed; to be (the result of a division)"
"日","ひ","day, days; sun, sunshine, sunlight; (the) day, daytime, daylight; date, deadline; (past) days, time (e.g. of one's childhood); case (esp. unfortunate), event"
"学生","がくせい","student (esp. a university student)"
"自分","じぶん","myself, yourself, oneself, himself, herself; I, me; you"
"","って, て","you said, he said, she said, they said; even if; do you seriously think that; I already told you, you should know by now that, of course; the said ..., said ...; says that ...; I hear that ...; as for the term ...; as for ..."
"","や","such things as ..., and ... and; the minute (that) ..., no sooner than ..., as soon as; be, is; o, oh; huh, what; hi; yes, what?; yes?, no?, is it?, isn't it?"
"","よりも","than, in comparison to; rather than, over, above"
"","である","be, is"
"酔う","よう, えう","to get drunk, to become intoxicated; to feel sick (e.g. in a vehicle), to become nauseated; to be elated, to be exalted, to be spellbound, to be in raptures"
"彼の","あの, あん","that, those, the"
"考え","かんがえ","thinking, thought, view, opinion, concept; idea, notion, imagination; intention, plan, design; consideration, judgement, deliberation, reflection; wish, hope, expectation"
"一","ひと, ひ, ひい","one; one"
"他","ほか","another place, some other place, somewhere else, outside; another (person or thing), other, different, something else, someone else, the rest, et al.; beyond (one's expectations, imagination, etc.), outside; except, but, other than, apart from; besides, in addition to, as well as, on top of"
"無い","ない","nonexistent, not being (there); unowned, not had, unpossessed; unique; not, impossible, won't happen; not; to not be, to have not"
"彼","あれ, アレ","that, that thing; that person; then, that time; that place (over there); down there (i.e. one's genitals); period, menses"
"","でも","but, however, though, nevertheless, still, yet, even so, also, as well; even; however, no matter how, even if, even though; ... or something; either ... or ..., neither ... nor ...; pseudo-, quack, in-name-only; for lack of anything better to do"
"尾","お","tail (of an animal), cauda; tail (of a kite, etc.), tail end; tail (of a comet); slope at the foot of a mountain"
"道","みち","road, path, street, lane, passage; route, way; distance, journey; road (e.g. to victory), course; way (of living, proper conduct, etc.), moral principles; teachings (esp. Confucian or Buddhist), dogma; field (e.g. of medicine), subject, speciality; means, way, method"
"決して","けっして, けして","(not) ever, (not) by any means, (not) in the least, (not) in any way, (not) at all"
"物","もの, もん, モノ","thing, object, article, stuff, substance; one's things, possessions, property, belongings; things, something, anything, everything, nothing; quality; reason, the way of things; used to emphasize emotion, judgment, etc., used to indicate a common occurrence in the past (after a verb in past tense), used to indicate a general tendency, used to indicate something that should happen; item classified as ..., item related to ..., work in the genre of ...; cause of ..., cause for ...; somehow, somewhat, for some reason; really, truly"
"頂ける","いただける","to be able to receive, to be able to take, to be able to accept; to be able to eat, to be able to drink; to be acceptable, to be satisfactory"
"","さん","Mr., Mrs., Miss, Ms., -san; politeness marker"
"人間","にんげん","human being, human, person, man, mankind, humankind; character (of a person)"
"迄","まで","until (a time), till, to, up to; to (a place or person), as far as; to (an extent), up to, so far as, even; only, merely"
"丈","だけ","only, just, merely, simply, no more than, nothing but, alone; as much as, to the extent of, enough to"
"然う","そう","in that way, thus, such; so; so?"
"止める","やめる","to stop (an activity), to cease, to discontinue, to end, to quit; to cancel, to abandon, to give up, to abolish, to abstain, to refrain"
"人","にん","counter for people"
"内","うち","inside, within; while (e.g. one is young), during, within (e.g. a day), in the course of; among, amongst, (out) of, between; in (secret, chaos, poverty, etc.), amidst, with (e.g. success); within oneself, one's feelings, inner thoughts; we, our company, our organization; one's home, one's family; my spouse, my husband, my wife; signed on behalf of (husband's name) by his wife; I, me; imperial palace grounds; emperor"
"乍ら","ながら","while, during, as; while, although, though, despite, in spite of, notwithstanding; all, both; as (e.g. ""as always"", ""as long ago""), in (e.g. ""in tears""); while doing something else (at the same time)"
"少女","しょうじょ","girl (usu. between 7 and 17), young lady; female between 17 and 20 years old (ritsuryō period)"
"知る","しる","to know, to be aware (of), to be conscious (of), to learn (of), to find out, to discover; to sense, to feel, to notice, to realize; to understand, to comprehend, to grasp, to appreciate; to remember, to be familiar with, to be acquainted with; to experience, to go through, to know (e.g. hardship); to get acquainted with (a person), to get to know; to have to do with, to be concerned with, to be one's concern, to be one's responsibility"
"知らせ","しらせ","news, word, tidings, notice, notification, information; omen, foreboding, premonition"
