"","ノウハウ, ノーハウ","know-how, expertise, the ropes, the knack"
"","ハイカー","hiker"
"","ヴァイオリニスト, バイオリニスト","violinist"
"","バレンタインデー, ヴァレンタインデー, バレンタイン・デー, ヴァレンタイン・デー","Valentine's Day"
"","ヘアスタイル, ヘアースタイル","hairstyle"
"巫山戯る","ふざける","to joke, to jest, to kid, to josh; to make fun of, to laugh at, to play a prank; to romp, to gambol, to frolic, to frisk, to mess around, to fool around, to screw around; to neck, to make out"
"遣り甲斐","やりがい","value in doing something, feeling that something is worth doing, rewarding feeling, sense of satisfaction"
"","ブログ","blog"
"じゃ無い","じゃない, ぢゃない","is not, am not, are not; isn't it?"
"飲酒運転","いんしゅうんてん","drunk driving, drink-driving, driving while intoxicated, drinking and driving, driving under the influence (of alcohol)"
"混凝土","コンクリート","concrete"
"耕作","こうさく","cultivation, farming"
"嘆く","なげく","to lament, to grieve, to regret; to deplore"
"梅","うめ, むめ, ウメ","Japanese apricot (Prunus mume), Japanese plum, ume, Chinese plum; lowest (of a three-tier ranking system)"
"独立","どくりつ","independence, self-reliance, supporting oneself, being on one's own; independence (e.g. of a nation), freedom; separation, isolation"
"役者","やくしゃ","actor, actress; man of wits, clever person, cunning fellow"
"","データ, データー","data, datum"
"素人","しろうと, しろと, しらびと","amateur, layman, ordinary person, novice; respectable woman (i.e. not a prostitute, hostess, geisha); unlicensed prostitute"
"蝶","ちょう, チョウ","butterfly"
"革命","かくめい","revolution; 58th year of the sexagenary cycle (in Onmyōdō)"
"洞窟","どうくつ","cave, cavern, grotto"
"尿","にょう, ゆばり, いばり, ゆまり, ばり, しい, しし, しと","urine"
"緑色","みどりいろ, りょくしょく","green, green color"
"阿呆","アホ, あほ, あほう, アホウ","fool, idiot, simpleton"
"","チェック","check (pattern), plaid; check, inspection, examination, looking over, scrutinizing; check (mark), tick, marking with a check, checking off, ticking; checking (something) out, following (with interest), keeping one's eye on, keeping a close watch on; check (bill of exchange), cheque; (restaurant) bill, check; check (in chess)"
"湿る","しめる, しとる","to become damp, to become moist, to become wet; to lack energy, to be in a slump, to be in low spirits, to feel depressed"
"雛","ひな, ヒナ","young bird, chick, fledgling; hina doll, doll displayed during the Girls' Festival"
"渦","うず","whirlpool, swirl, eddy, vortex, maelstrom"
"視野","しや","field of vision, view; one's outlook (e.g. on life), one's horizons"
"","コース","course, route, trail; course (of study), program; lane (in running, swimming, etc.); course (of action), policy, track, path; course (of a multi-course meal); full-course meal, multi-course meal; plan (type of offered service), course, option; flying path of a pitch"
"粉","こな, こ","flour, meal, powder, dust"
"主任","しゅにん","person in charge, senior staff, manager, chief, head"
"３０００","さんぜん","3000, three thousand; many"
"","ショー, ショウ","show, performance; show, exhibition, expo, fair, convention; TV show"
"幸運","こううん","good luck, fortune"
"","そしたら","then, and (then), in that case, if so"
"仕える","つかえる","to serve, to work for, to attend"
"閃く","ひらめく, ひろめく","to flash (e.g. lightning), to flicker, to glitter, to sparkle, to gleam; to flutter (e.g. flag), to wave, to undulate; to flash into one's mind (e.g. an idea), to come to one suddenly"
"手渡す","てわたす","to hand (over), to deliver in person"
"脅す","おどす","to threaten, to menace, to frighten (into doing)"
"斜面","しゃめん","slope, slanting surface, bevel"
"死亡","しぼう","death, dying, mortality"
"宣言","せんげん","declaration, proclamation, announcement"
"罰","ばち","(divine) punishment, curse, retribution"
"曲げる","まげる","to bend, to crook, to bow, to curve, to curl; to lean, to tilt, to incline, to slant; to bend (the truth), to distort, to twist, to pervert; to yield (a point), to depart (from a principle), to ignore (what one really thinks); to pawn"
"吸血鬼","きゅうけつき","vampire, bloodsucker"
"地点","ちてん","spot, point, place, position"
"反対側","はんたいがわ","opposite side, opposition"
"貴重","きちょう","precious, valuable"
"等しい","ひとしい","equal, identical, the same; no different (from), just like, equivalent"
"何れ","どれ","which (of three or more); well, now, c'mon"
"了解","りょうかい","comprehension, consent, understanding, agreement; OK, roger"
"","クリスマス","Christmas"
"真相","しんそう","truth, real situation"
"文明","ぶんめい","civilization, civilisation, culture; Bunmei era (1469.4.28-1487.7.20)"
"一件","いっけん","(one) matter, (one) item, (one) case"
"","うっかり, ウッカリ","carelessly, thoughtlessly, inadvertently"
"権力","けんりょく","(political) power, authority, influence"
"鈴","すず, りん, れい","bell (often globular)"
"甲板","かんぱん, こうはん","deck (of a ship)"
"番号","ばんごう","number, series of digits"
"分析","ぶんせき","analysis"
"経緯","けいい, いきさつ","details, particulars, sequence of events, circumstances, situation, how things got this way; longitude and latitude; warp and weft, warp and woof"
"思案","しあん","careful thought, consideration, deliberation, reflection, rumination, pondering"
"","すっと, スッと, スーッと, すうっと","straight, quickly, directly, all of a sudden; quietly, gently, softly; to feel refreshed, to feel satisfied"
"寒さ","さむさ","coldness"
"郡","ぐん, こおり","district, county; district (of 2-20 50-home neighbourhoods or townships, in the ritsuryō period); commandery (in China)"
"蝋燭","ろうそく, ローソク, ロウソク","candle"
"腰掛ける","こしかける","to sit (down)"
"妄想","もうそう, ぼうそう","delusion, wild idea, (wild) fancy, (ridiculous) fantasy"
"各","かく","each, every, all"
"地区","ちく","district, area, zone, quarter, section, region"
"一分","いちぶ","one tenth, one hundredth, one percent, one tenth of a sun, one quarter ryō (an old coin)"
